song_id,song_name,artist,album,play_count
003FTlCpBTM4eSqYSWPv4H,"Swing, Swing",The All-American Rejects,The All-American Rejects,1
0110a0AM2nOV8yYa9u6kjQ,Love Me Like a Friend,Fly By Midnight,Happy About Everything Else...,3
07UFnnK3uPIuKv5Rs9TmXl,Orange Juice,Noah Kahan,Stick Season,1
08QharKdouaH70SCqhfcZM,You (Show Me Where My Days Went),Wallows,Model,2
0RQVxcEzSbw0tM2YtcRzjy,Nothing in This Town,The Dig,Moonlight Baby,1
0WH2vgjbjYALOklYnZPYjH,Permanent Price,Wallows,Tell Me That It’s Over,1
0WRBJ8YRdbS6rwZkCk1Odh,ATTENTION,Joji,BALLADS 1,1
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",2
0Yys1xVosoudnuwBr1VS31,Safe,Surf Curse,Heaven Surrounds You,1
0hiHNxqKGf3GZgVTIOAiiK,Someone Like You (feat. Joy Oladokun),Noah Kahan,I Was / I Am,3
0j2l3sf15o9vczIATwA3Xr,black & white,Jeremy Zucker,black & white,3
0jZHLPGqojMwE3gH3R6JHB,A Keepsake,Arcane,Vol. 3: Arcane League of Legends (Season 2 Original Score),2
0mBP9X2gPCuapvpZ7TGDk3,Left and Right (Feat. Jung Kook of BTS),Charlie Puth,Left and Right (Feat. Jung Kook of BTS),1
0mLB2wh3dZfk0G627hk9A4,Safe With Me,Ike Dweck,Safe With Me,4
0nTIO6RuhJ85rYjUPUgJqM,Soft Spot,keshi,Requiem (Bonus Edition),3
0q6LuUqGLUiCPP1cbdwFs3,On Melancholy Hill,Gorillaz,Plastic Beach,1
0tCr7DoUBSdtdSl0rxZmct,Spring Snow,10CM,"Lovely Runner, Pt. 8 (Original Soundtrack)",3
0tuyEYTaqLxE41yGHSsXjy,Won't Go Home Without You,Maroon 5,It Won't Be Soon Before Long.,1
0vZhOON6GYVBxv6ZeeHyZ0,Better,Gracie Abrams,This Is What It Feels Like,2
12M5uqx0ZuwkpLp5rJim1a,Cornelia Street,Taylor Swift,Lover,3
14KP6cmTImZmrcAC5m0Azd,Call Me Back,Young the Giant,Mirror Master,4
167kHxm6OFYCeqbzmnaznR,I Don't Wanna Be Alone,Ammon and Liahona Olayan,Gotta Move On,1
18by0ws6zTnZ0frzKolyVU,Poolside,Summer Salt,Electrolytes,1
1B5CspmMKjLYFMmuglDXdr,Salvation,The Strumbellas,Rattlesnake,1
1BNT97tTIptIdFmbNmbTFU,Where My Loved One Stayed,DANIEL,Where My Loved One Stayed,1
1CdqVF1ywD0ZO1zXtB9yWa,Break Your Heart,Taio Cruz,Rokstarr,1
1SedJ3dLWoCqnPIGeEMUJH,Attachments,Pressa,Gardner Express,1
1TooxhKsuOkbQZhkWvek3U,Disguise,Day Wave,The Days We Had,1
1U1TpPbxYRFteIeT0Az4kM,Bruise,BETWEEN FRIENDS,"I Love My Girl, She's My Boy",1
1YYmB3ZqSYhX2V9yMAXgFt,Run Off The Road,Ola Podrida,Ola Podrida,1
1aEsTgCsv8nOjEgyEoRCpS,this is how you fall in love,Jeremy Zucker,brent ii,1
1cR29lpK5mJIlajSpRqfNF,For Real This Time,Gracie Abrams,This Is What It Feels Like,1
1ei3hzQmrgealgRKFxIcWn,In The Stars,Benson Boone,In The Stars,1
1hgGwlxj7UGDiQhCsziWwi,Heathers,Surf Curse,Buds,1
1k2pQc5i348DCHwbn5KTdc,Pink Pony Club,Chappell Roan,The Rise and Fall of a Midwest Princess,2
1vJKO2Phq0XB5MoZ6iMx8x,Wishful Thinking,Gracie Abrams,This Is What It Feels Like,1
1w9B61OdLdnjzZIUYmy0bd,Davy Crochet,The Backseat Lovers,When We Were Friends,1
1wQXj5bgxyZQ2XmE2X9s6n,Til Kingdom Come,Coldplay,X&Y,1
20JqRXl1m8oXqRyc8nqXtf,I've Never Been To LA,Oscar Lang,I've Never Been To LA,1
23ZzbyfEkvdxCvHcsALHFW,This Could Be,Joel Ansett,A Place I Knew Before,1
29f1v1yLuKlQSW5RKi8qj7,Dirty Thing,Telekinesis,12 Desperate Straight Lines,1
2EcsgXlxz99UMDSPg5T8RF,Beneath Your Beautiful (feat. Emeli Sandé),Labrinth,Electronic Earth (Expanded Edition),1
